Module,Path,Detail1,Detail2,Detail3,SizeBytes,Severity
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Particles/ParticlesSimpleLit.shader,Universal Render Pipeline/Particles/Simple Lit,Variants: 6967296,UNUSED,19165,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Nature/SpeedTree7Billboard.shader,Universal Render Pipeline/Nature/SpeedTree7 Billboard,Variants: 5898240,UNUSED,5601,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/WavingGrass.shader,Hidden/TerrainEngine/Details/UniversalPipeline/WavingDoublePass,Variants: 1769472,UNUSED,8128,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainDetailLit.shader,Hidden/TerrainEngine/Details/UniversalPipeline/Vertexlit,Variants: 491520,UNUSED,10738,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainLitAdd.shader,Hidden/Universal Render Pipeline/Terrain/Lit (Add Pass),Variants: 196608,UNUSED,8605,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/BakedLit.shader,Universal Render Pipeline/Baked Lit,Variants: 98304,UNUSED,13096,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/WavingGrassBillboard.shader,Hidden/TerrainEngine/Details/UniversalPipeline/BillboardWavingDoublePass,Variants: 24576,UNUSED,6519,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Unlit.shader,Universal Render Pipeline/Unlit,Variants: 896,UNUSED,11295,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/StencilDeferred.shader,Hidden/Universal Render Pipeline/StencilDeferred,Variants: 896,UNUSED,16606,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/CoreBlit.shader,Hidden/Universal/CoreBlit,Variants: 100,UNUSED,10921,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/LensFlareDataDriven.shader,Hidden/Universal Render Pipeline/LensFlareDataDriven,Variants: 80,UNUSED,6262,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/2D/Light2D.shader,Hidden/Light2D,Variants: 64,UNUSED,9014,Warning
Shader,Packages/com.unity.render-pipelines.universal/Runtime/RendererFeatures/OnTileUberPost.shader,OnTileUberPost,Variants: 54,UNUSED,14333,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/ClusterDeferred.shader,Hidden/Universal Render Pipeline/ClusterDeferred,Variants: 12,UNUSED,7133,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/ScreenSpaceAmbientOcclusion.shader,Hidden/Universal Render Pipeline/ScreenSpaceAmbientOcclusion,Variants: 10,UNUSED,7560,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/BokehDepthOfField.shader,Hidden/Universal Render Pipeline/BokehDepthOfField,Variants: 10,UNUSED,13103,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/SubpixelMorphologicalAntialiasing.shader,Hidden/Universal Render Pipeline/SubpixelMorphologicalAntialiasing,Variants: 9,UNUSED,1692,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/CopyDepth.shader,Hidden/Universal Render Pipeline/CopyDepth,Variants: 8,UNUSED,666,Warning
Shader,Packages/com.unity.ugui/Editor Resources/Shaders/TMP_SDF Internal Editor.shader,Hidden/TMP/Internal/Editor/Distance Field SSD,Variants: 6,UNUSED,2414,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/CameraMotionBlur.shader,Hidden/Universal Render Pipeline/CameraMotionBlur,Variants: 6,UNUSED,7126,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/TemporalAA.shader,Hidden/Universal Render Pipeline/TemporalAA,Variants: 6,UNUSED,3390,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/FallbackLoading.shader,Hidden/Universal Render Pipeline/FallbackLoading,Variants: 6,UNUSED,1960,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/LensFlareScreenSpace.shader,Hidden/Universal Render Pipeline/LensFlareScreenSpace,Variants: 5,UNUSED,5765,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/GaussianDepthOfField.shader,Hidden/Universal Render Pipeline/GaussianDepthOfField,Variants: 5,UNUSED,9581,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/FinalPost.shader,Hidden/Universal Render Pipeline/FinalPost,Variants: 4,UNUSED,8928,Warning
Shader,Packages/com.unity.shadergraph/Editor/Resources/Shaders/FallbackError.shader,Hidden/Shader Graph/FallbackError,Variants: 4,UNUSED,1176,Warning
Shader,Packages/com.unity.render-pipelines.core/Editor/PostProcessing/LensFlareResource/LensFlareDataDriven.shader,Hidden/Core/LensFlareDataDrivenPreview2,Variants: 4,UNUSED,3157,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/CoreBlitColorAndDepth.shader,Hidden/Universal/CoreBlitColorAndDepth,Variants: 3,UNUSED,1246,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/FallbackError.shader,Hidden/Universal Render Pipeline/FallbackError,Variants: 3,UNUSED,1926,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/MaterialError.shader,Hidden/Universal Render Pipeline/MaterialError,Variants: 3,UNUSED,2075,Warning
Shader,Packages/com.unity.render-pipelines.core/Runtime/RenderPipelineResources/FallbackShader.shader,Hidden/Core/FallbackError,Variants: 3,UNUSED,1061,Warning
Shader,Packages/com.unity.render-pipelines.core/Editor/LookDev/Compositor.shader,Hidden/LookDev/Compositor,Variants: 3,UNUSED,18065,Warning
Shader,Packages/com.unity.render-pipelines.core/Editor/Lighting/ProbeVolume/VoxelizeScene.shader,Hidden/ProbeVolume/VoxelizeScene,Variants: 3,UNUSED,1666,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/LutBuilderHdr.shader,Hidden/Universal Render Pipeline/LutBuilderHdr,Variants: 3,UNUSED,10857,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/2D/Shadow2D-Unshadow-Geometry.shader,Hidden/Shadow2DUnshadowGeometry,Variants: 2,UNUSED,2616,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/2D/Shadow2D-Unshadow-Sprite.shader,Hidden/Shadow2DUnshadowSprite,Variants: 2,UNUSED,3730,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/ObjectMotionVectorFallback.shader,Hidden/Universal Render Pipeline/ObjectMotionVectorFallback,Variants: 2,UNUSED,980,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Debug/HDRDebugView.shader,Hidden/Universal/HDRDebugView,Variants: 2,UNUSED,8962,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/BRGPicking.shader,Hidden/Universal Render Pipeline/BRGPicking,Variants: 2,UNUSED,4405,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/2D/Shadow2D-Projected.shader,Hidden/ShadowProjected2D,Variants: 2,UNUSED,3199,Warning
Shader,Packages/com.unity.render-pipelines.universal/Editor/Overrides/Shaders/CurveBackground.shader,Hidden/Universal Render Pipeline/Editor/CurveBackground,Variants: 2,UNUSED,1709,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/PaniniProjection.shader,Hidden/Universal Render Pipeline/PaniniProjection,Variants: 2,UNUSED,4296,Warning
Shader,Packages/com.unity.render-pipelines.universal/Tests/Editor/CustomDepthBlit.shader,Hidden/Core/CustomDepthBlit,Variants: 2,UNUSED,1395,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/XR/XROcclusionMesh.shader,Hidden/Universal Render Pipeline/XR/XROcclusionMesh,Variants: 2,UNUSED,2090,Warning
Shader,Packages/com.unity.render-pipelines.core/Editor/LookDev/CubeToLatlong.shader,Hidden/LookDev/CubeToLatlong,Variants: 2,UNUSED,3962,Warning
Shader,Packages/com.unity.render-pipelines.core/Editor/PostProcessing/LensFlareResource/LensFlareDataDrivenPreview.shader,Hidden/Core/LensFlareDataDrivenPreview,Variants: 2,UNUSED,1629,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/ScreenSpaceShadows.shader,Hidden/Universal Render Pipeline/ScreenSpaceShadows,Variants: 2,UNUSED,2124,Warning
Shader,Packages/com.unity.render-pipelines.core/Shaders/CoreCopy.shader,Hidden/CoreSRP/CoreCopy,Variants: 2,UNUSED,3364,Warning
Shader,Packages/com.unity.render-pipelines.core/Tests/Editor/SimpleDots.shader,Unlit/SimpleDots,Variants: 2,UNUSED,2752,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/BlitHDROverlay.shader,Hidden/Universal/BlitHDROverlay,Variants: 2,UNUSED,3915,Warning
Shader,Packages/com.unity.render-pipelines.core/Tests/Editor/SimpleSpeedTreeDots.shader,Unlit/SimpleSpeedTreeDots,Variants: 2,UNUSED,2845,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainLitBasemapGen.shader,Hidden/Universal Render Pipeline/Terrain/Lit (Basemap Gen),Variants: 2,UNUSED,8409,Warning
Shader,Packages/com.unity.render-pipelines.universal/Editor/Overrides/Shaders/ShadowsMidtonesHighlightsCurves.shader,Hidden/Universal Render Pipeline/Editor/Shadows Midtones Highlights Curve,Variants: 2,UNUSED,3275,Warning
Shader,Packages/com.unity.render-pipelines.universal/Editor/Overrides/Shaders/TrackballEditor.shader,Hidden/Universal Render Pipeline/Editor/Trackball,Variants: 2,UNUSED,3836,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/UberPost.shader,Hidden/Universal Render Pipeline/UberPost,Variants: 2,UNUSED,15558,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/Bloom.shader,Hidden/Universal Render Pipeline/Bloom,Variants: 1,UNUSED,13000,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/LutBuilderLdr.shader,Hidden/Universal Render Pipeline/LutBuilderLdr,Variants: 1,UNUSED,6555,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/EdgeAdaptiveSpatialUpsampling.shader,Hidden/Universal Render Pipeline/Edge Adaptive Spatial Upsampling,Variants: 1,UNUSED,2220,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Debug/DebugReplacement.shader,Hidden/Universal Render Pipeline/Debug/DebugReplacement,Variants: 1,UNUSED,4769,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/Sampling.shader,Hidden/Universal Render Pipeline/Sampling,Variants: 1,UNUSED,1516,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/StencilDitherMaskSeed.shader,Hidden/Universal Render Pipeline/StencilDitherMaskSeed,Variants: 1,UNUSED,1718,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/XR/XRMirrorView.shader,Hidden/Universal Render Pipeline/XR/XRMirrorView,Variants: 1,UNUSED,1126,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/XR/XRMotionVector.shader,Hidden/Universal Render Pipeline/XR/XRMotionVector,Variants: 1,UNUSED,3403,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/StopNaN.shader,Hidden/Universal Render Pipeline/Stop NaN,Variants: 1,UNUSED,1104,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/ScalingSetup.shader,Hidden/Universal Render Pipeline/Scaling Setup,Variants: 1,UNUSED,3792,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/Utils/Blit.shader,Hidden/Universal Render Pipeline/Blit,Variants: 1,UNUSED,1697,Warning
Shader,Assets/NewBlitScriptableRenderPipelineShader.shader,Custom/NewBlitScriptableRenderPipelineShader,Variants: 1,UNUSED,859,Warning
Shader,Packages/com.unity.render-pipelines.universal/Tests/Editor/PostProcessDataTests/2.shader,Custom/Test Shader,Variants: 1,UNUSED,1649,Warning
Shader,Packages/com.unity.render-pipelines.universal/Shaders/2D/Shadow2D-Shadow-Geometry.shader,Hidden/Shadow2DShadowGeometry,Variants: 1,UNUSED,1155,Warning
Shader,Packages/com.unity.shadergraph/Editor/Resources/Shaders/Checkerboard.shader,Hidden/Checkerboard,Variants: 1,UNUSED,949,Warning
Shader,Packages/com.unity.render-pipelines.universal/Runtime/Decal/DBuffer/DBufferClear.shader,Hidden/Universal Render Pipeline/DBufferClear,Variants: 1,UNUSED,1334,Warning
Shader,Packages/com.unity.shadergraph/Editor/Resources/Shaders/BlitNoAlpha.shader,Hidden/BlitNoAlpha,Variants: 1,UNUSED,1380,Warning
Shader,Packages/com.unity.render-pipelines.core/Tests/Editor/ShaderStripping/DummyPipelineShader.shader,Hidden/DummyPipeline/VariantStrippingTestsShader,Variants: 1,UNUSED,1414,Warning
Shader,Packages/com.unity.render-pipelines.core/Runtime/Vrs/Shaders/VrsVisualization.shader,Hidden/Core/VrsVisualization,Variants: 1,UNUSED,1401,Warning
Shader,Packages/com.unity.render-pipelines.core/Runtime/RenderPipelineResources/GPUDriven/DebugOcclusionTest.shader,Hidden/Core/DebugOcclusionTest,Variants: 1,UNUSED,4200,Warning
